id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,xxxx,inventory_line_id/product_qty,inventory_line_id/product_uom
,,สาทร ชั้น 2,product_N-HV-121006-1,Atlux สมุดบัญชีปกแข็ง 60G 12/100แผ่น HV-121006,42,เล่ม
,,สาทร ชั้น 2,product_N-HV-121006,สมุดบัญชีปกแข็ง 60แกรม 12/100แผ่น HV-201006,42,เล่ม
,,สาทร ชั้น 2,product_N-HV-201006-1,Atlux สมุดบัญชีปกแข็ง 60G 20/100แผ่น HV-201006,54,เล่ม
,,สาทร ชั้น 2,product_N-BV-2706-1,Atlux สมุดปกแข็งสันตรง 60แกรม 2/70แผ่น BV-2706,840,เล่ม
,,สาทร ชั้น 2,product_N-HV-91006,สมุดปกแข็งสันตรง 60แกรม 9/100แผ่น HV-91006,1092,เล่ม
,,สาทร ชั้น 2,product_N-HV-51007,สมุดปกแข็งสันตรง 70แกรม 5/100แผ่น HV-51007 ลายเพชร,3276,เล่ม
,,สาทร ชั้น 2,product_N-HV-51007-1,Atlux สมุดปกแข็งสันตรง 70แกรม 5/100แผ่น HV-51007 ลายเพชร,980,เล่ม
,,สาทร ชั้น 2,product_N-HVA5807,Atlux สมุดปกแข็งสันตรง A5/80แผ่น 70G HV-A5807,180,เล่ม
,,สาทร ชั้น 2,__export__.product_product_6722,สมุดปกแข็งสันห่วง A6 70แกรม 80แผ่น HVDW-A6807,1484,เล่ม
,,สาทร ชั้น 2,product_N-HVDW-L807,Atlux สมุดปกแข็งริมห่วงทรงยาว 80แผ่น 70G HVDW-L807,420,เล่ม
,,สาทร ชั้น 2,product_N-HVDW-A51007-1,Atlux สมุดปกแข็งสันห่วง A5 70แกรม 100แผ่น HVDW-A51007,420,เล่ม
,,สาทร ชั้น 2,product_N-HVDW-SP-A58075,Atlux สมุดปกแข็งสันห่วงSpotUV A5/80แผ่น 75G HVDW-SP-A58075,174,เล่ม
,,สาทร ชั้น 2,__export__.product_product_6953,สมุดปกแข็งสันห่วงเล็ก 60 แผ่น 70แกรม HVDW-SS-607,2880,เล่ม
,,สาทร ชั้น 2,__export__.product_product_6958,สมุดปกแข็งสันห่วง B6/70แผ่น 70g HVDW-B6707,11801,เล่ม
,,สาทร ชั้น 2,product_N-HVS-100G18100,สมุดปกแข็งหุ้มพลาสติก 100แกรม 18/100แผ่น,2991,เล่ม
,,สาทร ชั้น 2,product_N-HVS-100G5100,สมุดปกแข็งหุ้มพลาสติก 100แกรม 5/100แผ่น,328,เล่ม
,,สาทร ชั้น 2,product_N-HVS-100G5150,สมุดปกแข็งหุ้มพลาสติก 100แกรม 5/150แผ่น,372,เล่ม
,,สาทร ชั้น 2,product_N-HVS-100G5200,สมุดปกแข็งหุ้มพลาสติก 100แกรม 5/200แผ่น,633,เล่ม
,,สาทร ชั้น 2,product_N-HVS-100G8100,สมุดปกแข็งหุ้มพลาสติก 100แกรม 8/100แผ่น,252,เล่ม
,,สาทร ชั้น 2,product_N-HVS-100G8150,สมุดปกแข็งหุ้มพลาสติก 100แกรม 8/150แผ่น,258,เล่ม
,,สาทร ชั้น 2,product_N-HVS-100G8200,สมุดปกแข็งหุ้มพลาสติก 100แกรม 8/200แผ่น,39,เล่ม
,,สาทร ชั้น 2,product_N-HVS-100G9100,สมุดปกแข็งหุ้มพลาสติก 100แกรม 9/100แผ่น,800,เล่ม
,,สาทร ชั้น 2,product_N-HVS-100G9150,สมุดปกแข็งหุ้มพลาสติก 100แกรม 9/150แผ่น,450,เล่ม
,,สาทร ชั้น 2,product_N-HVS-100G9200,สมุดปกแข็งหุ้มพลาสติก 100แกรม 9/200แผ่น,6,เล่ม
,,สาทร ชั้น 2,product_N-BL-2260,สมุดปกแข็งน้ำเงิน 55แกรม 2/260แผ่น,798,เล่ม
,,สาทร ชั้น 2,product_N-BL-260C,สมุดปกสีน้ำเงินเคลือบพลาสติก 55แกรม 2/60แผ่น,1074,เล่ม
,,สาทร ชั้น 2,product_N-BL-270PVC,สมุดปกแข็งสีน้ำเงินหุ้มปกพลาสติก 55แกรม 2/70แผ่น,1230,เล่ม
,,สาทร ชั้น 2,product_N-BL-4260,สมุดปกแข็งสีน้ำเงิน 55แกรม 4/260แผ่น,858,เล่ม
