id,name,brand_id,description_sale,description_purchase,product_main_code,product_sub_code,ean13,old_product_code,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,cover_unit_price,categ_id,uom_id,uom_po_id,paper_size_id,paper_grams_id,paper_nums_id,paper_binding_id,product_pack_id,description,valuation,uos_id,uos_coeff,qty_available
mh_product_62,กระดาษถ่ายเอกสารสีสะท้อนแสงนอก No.19,Venus,,,PAX10061,,,09-116,TRUE,TRUE,Stockable Product,Make to Stock,Buy,168.22,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,500,,1*1,,Real Time (automated),,,
mh_product_63,กระดาษถ่ายเอกสารสีสะท้อนแสงนอก No.20,Venus,,,PAX10062,,,09-117,TRUE,TRUE,Stockable Product,Make to Stock,Buy,168.22,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,500,,1*1,,Real Time (automated),,,
mh_product_64,กระดาษถ่ายเอกสารสีสะท้อนแสงนอก No.21,Venus,,,PAX10063,,,09-118,TRUE,TRUE,Stockable Product,Make to Stock,Buy,168.22,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,500,,1*1,,Real Time (automated),,,
mh_product_65,กะดาษโรเนียวปอนด์,Venus,,,PAL10064,,,10-001,TRUE,TRUE,Stockable Product,Make to Stock,Buy,43.93,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,A4,60,300,,1*1,,Real Time (automated),,,
mh_product_66,กะดาษโรเนียวปอนด์,Venus,,,PAL10065,,,10-037,TRUE,TRUE,Stockable Product,Make to Stock,Buy,71.96,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,A4,60,500,,1*1,,Real Time (automated),,,
mh_product_67,กะดาษโรเนียวปอนด์,Venus,,,PAL10066,,,10-003,TRUE,TRUE,Stockable Product,Make to Stock,Buy,50.47,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,A4,70,300,,1*1,,Real Time (automated),,,
mh_product_68,กะดาษโรเนียวปอนด์,Venus,,,PAL10067,,,10-039,TRUE,TRUE,Stockable Product,Make to Stock,Buy,81.78,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,A4,70,500,,1*1,,Real Time (automated),,,
mh_product_69,กะดาษโรเนียวปอนด์,Venus,,,PAL10068,,,10-005,TRUE,TRUE,Stockable Product,Make to Stock,Buy,57.01,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,A4,80,300,,1*1,,Real Time (automated),,,
mh_product_70,กะดาษโรเนียวปอนด์,Venus,,,PAL10069,,,10-041,TRUE,TRUE,Stockable Product,Make to Stock,Buy,90.65,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,A4,80,500,,1*1,,Real Time (automated),,,
mh_product_71,กะดาษโรเนียวปรู๊ฟใน,Venus,,,PAL10070,,,10-079,TRUE,TRUE,Stockable Product,Make to Stock,Buy,37.85,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,A4,60,300,,1*1,,Real Time (automated),,,
mh_product_72,กะดาษโรเนียวปรู๊ฟใน,Venus,,,PAL10071,,,10-080,TRUE,TRUE,Stockable Product,Make to Stock,Buy,59.81,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,A4,60,500,,1*1,,Real Time (automated),,,
mh_product_73,กะดาษโรเนียวปรู๊ฟนอก,Venus,,,PAL10072,,,10-077,TRUE,TRUE,Stockable Product,Make to Stock,Buy,40.19,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,A4,60,300,,1*1,,Real Time (automated),,,
mh_product_74,กะดาษโรเนียวปรู๊ฟนอก,Venus,,,PAL10073,,,10-078,TRUE,TRUE,Stockable Product,Make to Stock,Buy,62.62,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,A4,60,500,,1*1,,Real Time (automated),,,
mh_product_75,กะดาษโรเนียวปอนด์,Value,,,PAL10074,,,10-065,TRUE,TRUE,Stockable Product,Make to Stock,Buy,44.39,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,A4,60,300,,1*1,,Real Time (automated),,,
mh_product_76,กะดาษโรเนียวปอนด์,Value,,,PAL10075,,,10-068,TRUE,TRUE,Stockable Product,Make to Stock,Buy,69.16,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,A4,60,500,,1*1,,Real Time (automated),,,
mh_product_77,กะดาษโรเนียวปอนด์,Value,,,PAL10076,,,10-066,TRUE,TRUE,Stockable Product,Make to Stock,Buy,49.53,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,A4,70,300,,1*1,,Real Time (automated),,,
mh_product_78,กะดาษโรเนียวปอนด์,Value,,,PAL10077,,,10-069,TRUE,TRUE,Stockable Product,Make to Stock,Buy,79.91,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,A4,70,500,,1*1,,Real Time (automated),,,
mh_product_79,กะดาษโรเนียวปอนด์,Value,,,PAL10078,,,10-067,TRUE,TRUE,Stockable Product,Make to Stock,Buy,56.07,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,A4,80,300,,1*1,,Real Time (automated),,,
mh_product_80,กะดาษโรเนียวปอนด์,Value,,,PAL10079,,,10-070,TRUE,TRUE,Stockable Product,Make to Stock,Buy,91.59,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,A4,80,500,,1*1,,Real Time (automated),,,
mh_product_81,กะดาษโรเนียวปรู๊ฟใน,Value,,,PAL10080,,,10-081,TRUE,TRUE,Stockable Product,Make to Stock,Buy,31.78,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,A4,60,300,,1*1,,Real Time (automated),,,
mh_product_82,กะดาษโรเนียวปรู๊ฟใน,Value,,,PAL10081,,,10-082,TRUE,TRUE,Stockable Product,Make to Stock,Buy,52.34,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,A4,60,500,,1*1,,Real Time (automated),,,
mh_product_83,กะดาษโรเนียวปอนด์,Venus,,,PAL10082,,,10-002,TRUE,TRUE,Stockable Product,Make to Stock,Buy,51.4,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,ยาว,60,300,,1*1,,Real Time (automated),,,
mh_product_84,กะดาษโรเนียวปอนด์,Venus,,,PAL10083,,,10-038,TRUE,TRUE,Stockable Product,Make to Stock,Buy,83.18,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,ยาว,60,500,,1*1,,Real Time (automated),,,
mh_product_85,กะดาษโรเนียวปอนด์,Venus,,,PAL10084,,,10-004,TRUE,TRUE,Stockable Product,Make to Stock,Buy,58.88,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,ยาว,70,300,,1*1,,Real Time (automated),,,
mh_product_86,กะดาษโรเนียวปอนด์,Venus,,,PAL10085,,,10-040,TRUE,TRUE,Stockable Product,Make to Stock,Buy,93.46,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,ยาว,70,500,,1*1,,Real Time (automated),,,
mh_product_87,กะดาษโรเนียวปอนด์,Venus,,,PAL10086,,,10-006,TRUE,TRUE,Stockable Product,Make to Stock,Buy,58.88,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,ยาว,80,300,,1*1,,Real Time (automated),,,
mh_product_88,กะดาษโรเนียวปอนด์,Venus,,,PAL10087,,,10-042,TRUE,TRUE,Stockable Product,Make to Stock,Buy,93.46,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,ยาว,80,500,,1*1,,Real Time (automated),,,
mh_product_89,กะดาษโรเนียวปรู๊ฟใน,Venus,,,PAL10088,,,10-083,TRUE,TRUE,Stockable Product,Make to Stock,Buy,43.93,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,ยาว,60,300,,1*1,,Real Time (automated),,,
mh_product_90,กะดาษโรเนียวปรู๊ฟใน,Venus,,,PAL10089,,,10-084,TRUE,TRUE,Stockable Product,Make to Stock,Buy,69.16,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,ยาว,60,500,,1*1,,Real Time (automated),,,
mh_product_91,กะดาษโรเนียวปรู๊ฟนอก,Venus,,,PAL10090,,,10-008,TRUE,TRUE,Stockable Product,Make to Stock,Buy,45.79,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,ยาว,60,300,,1*1,,Real Time (automated),,,
mh_product_92,กะดาษโรเนียวปรู๊ฟนอก,Venus,,,PAL10091,,,10-044,TRUE,TRUE,Stockable Product,Make to Stock,Buy,71.96,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,ยาว,60,500,,1*1,,Real Time (automated),,,
mh_product_93,กะดาษโรเนียวปอนด์,Value,,,PAL10092,,,10-071,TRUE,TRUE,Stockable Product,Make to Stock,Buy,52.8,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,ยาว,60,300,,1*1,,Real Time (automated),,,
mh_product_94,กะดาษโรเนียวปอนด์,Value,,,PAL10093,,,10-072,TRUE,TRUE,Stockable Product,Make to Stock,Buy,82.71,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,ยาว,60,500,,1*1,,Real Time (automated),,,
mh_product_95,กะดาษโรเนียวปอนด์,Value,,,PAL10094,,,10-073,TRUE,TRUE,Stockable Product,Make to Stock,Buy,59.35,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,ยาว,70,300,,1*1,,Real Time (automated),,,
mh_product_96,กะดาษโรเนียวปอนด์,Value,,,PAL10095,,,10-074,TRUE,TRUE,Stockable Product,Make to Stock,Buy,93.93,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,ยาว,70,500,,1*1,,Real Time (automated),,,
mh_product_97,กะดาษโรเนียวปอนด์,Value,,,PAL10096,,,10-075,TRUE,TRUE,Stockable Product,Make to Stock,Buy,65.42,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,ยาว,80,300,,1*1,,Real Time (automated),,,
mh_product_98,กะดาษโรเนียวปอนด์,Value,,,PAL10097,,,10-076,TRUE,TRUE,Stockable Product,Make to Stock,Buy,104.67,Standard Price,0,,กระดาษโรเนียว,รีม,รีม,ยาว,80,500,,1*1,,Real Time (automated),,,
