id,uom_so_id
product_268335,หีบ/6/12
product_1908007,หีบ/12
product_1908008,หีบ/12
product_1802560,หีบ/12
product_1802561,หีบ/12
product_261442,หีบ/6/6
product_268309,หีบ/10/12
product_268691,หีบ/12/12
product_268693,หีบ/6/12
product_1643087,หีบ/24
product_2012644,หีบ/12
product_2012645,หีบ/12
product_2011923,หีบ/3/3
product_1534566,หีบ/12
product_2321224,หีบ/12
product_2241339,หีบ/12
product_1451543,หีบ/12
product_708067,หีบ/12
product_1300369,หีบ/12
product_1451547,หีบ/12
product_1451548,หีบ/12
product_1164684,หีบ/12
product_1451544,หีบ/12
product_846309,หีบ/12
product_1802343,หีบ/12
product_1244402,หีบ/12
product_2525970,หีบ/12
product_2525972,หีบ/12
product_2525974,หีบ/12
product_2249447,หีบ/12
product_1726869,หีบ/12
product_2249452,หีบ/12
product_2800087,หีบ/24
product_2800530,หีบ/24
product_2800531,หีบ/24
product_2800532,หีบ/24
product_2800533,หีบ/24
product_2800534,หีบ/24
product_2800535,หีบ/24
product_2800537,หีบ/24
product_2800538,หีบ/24
product_2800539,หีบ/24
product_2800540,หีบ/12
product_2800541,หีบ/24
product_2800542,หีบ/24
product_2800543,หีบ/24
product_2800544,หีบ/12
product_2800545,หีบ/12
product_2800546,หีบ/24
product_2800547,หีบ/12
product_2800548,หีบ/12
product_2800549,หีบ/12
product_1993315,หีบ/6/6
product_2800551,หีบ/24
product_2800552,หีบ/6/6
product_1908011,หีบ/12
product_1127130,หีบ/24
product_1127175,หีบ/3/8
product_1127131,หีบ/24
product_1127176,หีบ/6/4
product_3184434,หีบ/12
product_3168609,หีบ/12
product_3168615,หีบ/12
product_2526054,หีบ/12
product_2767605,หีบ/12/12
product_1245065,หีบ/24
product_1534561,หีบ/12
product_1534565,หีบ/12
product_2188812,หีบ/12
product_1868860,หีบ/12
product_1801611,หีบ/100/12
product_1534821,หีบ/20
product_2186434,หีบ/20
product_2186436,หีบ/20
product_1812974,หีบ/24
product_2800629,หีบ/12
product_2800630,หีบ/12
product_2800631,หีบ/12
product_2800632,หีบ/12
product_2800633,หีบ/12
product_2800635,หีบ/12
product_2800636,หีบ/12
product_2800637,หีบ/12
product_2800638,หีบ/12
product_2800639,หีบ/12
product_2800640,หีบ/12
product_2800641,หีบ/12
product_2800642,หีบ/12
product_2800643,หีบ/12
product_2800644,หีบ/12
product_2800645,หีบ/12
product_2800646,หีบ/12
product_2800647,หีบ/12
product_2800649,หีบ/12
product_2800650,หีบ/12
product_2800453,หีบ/12
product_2800454,หีบ/12
product_2800456,หีบ/24
product_2800457,หีบ/12
product_2800458,หีบ/12
product_2800465,หีบ/12
product_2800459,หีบ/12
product_2800460,หีบ/12
product_2800461,หีบ/12
product_2800462,หีบ/12
product_2800463,หีบ/12
product_2800464,หีบ/12
product_2800467,หีบ/12
product_2800468,หีบ/12
product_2800470,หีบ/12
product_2800471,หีบ/12
product_2800473,หีบ/12
product_2800474,หีบ/12
product_2800679,หีบ/12
product_2800680,หีบ/12
product_2800681,หีบ/12
product_2800683,หีบ/12
product_2800684,หีบ/12
product_2800685,หีบ/12
product_2800686,หีบ/12
product_2800687,หีบ/12
product_2800688,หีบ/12
product_2800689,หีบ/12
product_2800690,หีบ/12
product_2800691,หีบ/12
product_2800692,หีบ/12
product_2800693,หีบ/12
product_2800694,หีบ/12
product_2800695,หีบ/12
product_2800697,หีบ/12
