id,Category_NOUSE,Name__NOUSE,rate_step_ids/amount_over,rate_step_ids/percent_commission
product_P-CWF-035,กระดาษการ์ดสี,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีฟ้า ,94,1
product_P-CWF-036,กระดาษการ์ดสี,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีชมพู ,94,1
product_P-CWF-037,กระดาษการ์ดสี,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีเขียว ,94,1
product_P-CWF-038,กระดาษการ์ดสี,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีเหลือง ,94,1
product_P-CWF-034,กระดาษการ์ดสี,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีขาว ,107,1
product_P-CWF-030,กระดาษการ์ดสี,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีฟ้า ,107,1
product_P-CWF-031,กระดาษการ์ดสี,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีชมพู ,107,1
product_P-CWF-032,กระดาษการ์ดสี,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีเขียว ,107,1
product_P-CWF-033,กระดาษการ์ดสี,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีเหลือง ,107,1
product_P-CWF-042,กระดาษการ์ดสี,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีฟ้า ,88,0.5
product_P-CWF-043,กระดาษการ์ดสี,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีชมพู ,88,0.5
product_P-CWF-044,กระดาษการ์ดสี,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีเขียว ,88,0.5
product_P-CWF-045,กระดาษการ์ดสี,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีเหลือง ,88,0.5
product_P-CWF-046,กระดาษการ์ดสี,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีฟ้า ,97,0.5
product_P-CWF-047,กระดาษการ์ดสี,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีชมพู ,97,0.5
product_P-CWF-048,กระดาษการ์ดสี,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีเขียว ,97,0.5
product_P-CWF-049,กระดาษการ์ดสี,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีเหลือง ,97,0.5
product_P-CWF-050,กระดาษการ์ดสี,กระดาษการ์ดสี F4 150แกรม 180แผ่น สีฟ้า ,125,0.5
product_P-CWF-051,กระดาษการ์ดสี,กระดาษการ์ดสี F4 150แกรม 180แผ่น สีชมพู ,125,0.5
product_P-CWF-052,กระดาษการ์ดสี,กระดาษการ์ดสี F4 150แกรม 180แผ่น สีเขียว ,125,0.5
product_P-CWF-053,กระดาษการ์ดสี,กระดาษการ์ดสี F4 150แกรม 180แผ่น สีเหลือง,125,0.5
product_P-CWF-054,กระดาษการ์ดสี,กระดาษการ์ดสี F4 150แกรม 200แผ่น สีฟ้า ,137,0.5
product_P-CWF-055,กระดาษการ์ดสี,กระดาษการ์ดสี F4 150แกรม 200แผ่น สีชมพู ,137,0.5
product_P-CWF-056,กระดาษการ์ดสี,กระดาษการ์ดสี F4 150แกรม 200แผ่น สีเขียว ,137,0.5
product_P-CWF-057,กระดาษการ์ดสี,กระดาษการ์ดสี F4 150แกรม 200แผ่น สีเหลือง ,137,0.5
product_P-CWF-062,กระดาษการ์ดสี,กระดาษการ์ดสี F4 180แกรม 100แผ่น สีขาว ,94,1
product_P-CWF-058,กระดาษการ์ดสี,กระดาษการ์ดสี F4 180แกรม 100แผ่น สีฟ้า ,94,1
product_P-CWF-059,กระดาษการ์ดสี,กระดาษการ์ดสี F4 180แกรม 100แผ่น สีชมพู ,94,1
product_P-CWF-060,กระดาษการ์ดสี,กระดาษการ์ดสี F4 180แกรม 100แผ่น สีเขียว ,94,1
product_P-CWF-061,กระดาษการ์ดสี,กระดาษการ์ดสี F4 180แกรม 100แผ่น สีเหลือง ,94,1
product_P-CWF-063,กระดาษการ์ดสี,กระดาษการ์ดสี F4 210แกรม 100แผ่น สีฟ้า ,107,1
product_P-CWF-064,กระดาษการ์ดสี,กระดาษการ์ดสี F4 210แกรม 100แผ่น สีชมพู ,107,1
product_P-CWF-065,กระดาษการ์ดสี,กระดาษการ์ดสี F4 210แกรม 100แผ่น สีเขียว ,107,1
product_P-CWF-066,กระดาษการ์ดสี,กระดาษการ์ดสี F4 210แกรม 100แผ่น สีเหลือง ,107,1
product_235301,กระดาษการ์ดสี,Q-BIZ กระดาษการ์ดสีครีม 110g A4 100 ผ. ,40,0
product_235302,กระดาษการ์ดสี,Q-BIZ กระดาษการ์ดสีม่วง 110g A4 100 ผ. ,40,0
product_95056,กระดาษการ์ดสี,Q-BIZ กระดาษการ์ดสี 110g A4 200 ผ. (คละสี),61,0
product_P-HB-NO10-A,กระดาษแข็ง,กระดาษแข็ง เบอร์10 90แผ่น เกรดA,600,0.5
product_P-HB-NO10-B,กระดาษแข็ง,กระดาษแข็ง เบอร์10 90แผ่น เกรดB,470,0.5
product_P-HB-NO12-A,กระดาษแข็ง,กระดาษแข็ง เบอร์12 75แผ่น เกรดA,600,0.5
product_P-HB-NO12-B,กระดาษแข็ง,กระดาษแข็ง เบอร์12 75แผ่น เกรดB,470,0.5
product_P-HB-NO16-A,กระดาษแข็ง,กระดาษแข็ง เบอร์16 55แผ่น เกรดA ,635,0.5
product_P-HB-NO16-B,กระดาษแข็ง,กระดาษแข็ง เบอร์16 55แผ่น เกรดB,480,0.5
product_P-HB-NO20-A,กระดาษแข็ง,กระดาษแข็ง เบอร์20 45แผ่น เกรดA ,685,0.5
product_P-HB-NO20-B,กระดาษแข็ง,กระดาษแข็ง เบอร์20 45แผ่น เกรดB,515,0.5
product_P-HB-NO24-A,กระดาษแข็ง,กระดาษแข็ง เบอร์24 37แผ่น เกรดA,685,0.5
product_P-HB-NO24-B,กระดาษแข็ง,กระดาษแข็ง เบอร์24 37แผ่น เกรดB,515,0.5
product_P-HB-NO32-A,กระดาษแข็ง,กระดาษแข็ง เบอร์32 27แผ่น เกรดA,685,0.5
product_P-HB-NO32-B,กระดาษแข็ง,กระดาษแข็ง เบอร์32 27แผ่น เกรดB,525,0.5
product_P-HB-NO8-A,กระดาษแข็ง,กระดาษแข็ง เบอร์8 110แผ่น เกรดA,600,0.5
product_P-HB-NO8-B,กระดาษแข็ง,กระดาษแข็ง เบอร์8 110แผ่น เกรดB,470,0.5
product_P-ANS-100,กระดาษคำตอบ,กระดาษคำตอบ 100ข้อ 50แกรม 200แผ่น,17.5,1
product_P-ANS-120,กระดาษคำตอบ,กระดาษคำตอบ 120ข้อ 50แกรม 200แผ่น,17.5,1
product_P-ANS-60,กระดาษคำตอบ,กระดาษคำตอบ 60ข้อ 50แกรม 200แผ่น,12,1
product_P-ANS-80,กระดาษคำตอบ,กระดาษคำตอบ 80ข้อ 50แกรม 200แผ่น,12,1
product_P-PC-A3-70G-300S,กระดาษถ่ายเอกสาร,กระดาษถ่ายเอกสาร A3 70แกรม 300แผ่น Venus,119,0.5
product_P-PC-A3-70G-500S,กระดาษถ่ายเอกสาร,กระดาษถ่ายเอกสาร A3 70แกรม 500แผ่น Venus,194,0.5
product_P-PC-A3-80G-300S,กระดาษถ่ายเอกสาร,กระดาษถ่ายเอกสาร A3 80แกรม 300แผ่น Venus,136,0.5
product_P-PC-A3-80G-500S,กระดาษถ่ายเอกสาร,กระดาษถ่ายเอกสาร A3 80แกรม 500แผ่น Venus,223,0.5
product_P-PC-A4-70G-300S,กระดาษถ่ายเอกสาร,กระดาษถ่ายเอกสาร A4 70แกรม 300แผ่น Venus,56,0.3
product_P-PC-A4-70G-400S,กระดาษถ่ายเอกสาร,กระดาษถ่ายเอกสาร A4 70แกรม 400แผ่น Venus,74,0.3
product_P-PC-A4-70G-500S-CLP,กระดาษถ่ายเอกสาร,กระดาษถ่ายเอกสาร A4 70แกรม 500แผ่น Copy & Laser Paper,75,0.3
product_P-PC-A4-70G-500S-IDEAMAX,กระดาษถ่ายเอกสาร,กระดาษถ่ายเอกสาร A4 70แกรม 500แผ่น Idea max,91.5,0.3
product_P-PC-A4-70G-500S-PPC,กระดาษถ่ายเอกสาร,กระดาษถ่ายเอกสาร A4 70แกรม 500แผ่น PPC,62,0.15
