id,warehouse_id,location_id,product_main_code,product_id/id,product_min_qty,product_uom,product_max_qty
count_feb2016_floor1_57,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-F920,product_N-F920,50000,เล่ม,0
count_feb2016_floor1_58,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,159002,product_159002,8000,เล่ม,0
count_feb2016_floor1_59,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-F940,product_N-F940,40000,เล่ม,0
count_feb2016_floor1_60,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,209768,product_209768,12000,เล่ม,0
count_feb2016_floor1_61,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,268691,product_268691,10000,เล่ม,0
count_feb2016_floor1_62,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-F950,product_N-F950,35000,เล่ม,0
count_feb2016_floor1_63,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,949949,product_949949,10000,เล่ม,0
count_feb2016_floor1_64,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1643087,product_1643087,5000,เล่ม,0
count_feb2016_floor1_65,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-F960,product_N-F960,13000,เล่ม,0
count_feb2016_floor1_66,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,268693,product_268693,10000,เล่ม,0
count_feb2016_floor1_67,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1300369,product_1300369,2000,เล่ม,0
count_feb2016_floor1_68,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1451547,product_1451547,720,เล่ม,0
count_feb2016_floor1_69,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-F980,product_N-F980,22000,เล่ม,0
count_feb2016_floor1_70,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,159003,product_159003,5000,เล่ม,0
count_feb2016_floor1_71,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-F8307,product_N-F8307,1200,เล่ม,0
count_feb2016_floor1_72,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,143722,product_143722,3000,เล่ม,0
count_feb2016_floor1_73,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1451543,product_1451543,3000,เล่ม,0
count_feb2016_floor1_74,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,708067,product_708067,2000,เล่ม,0
count_feb2016_floor1_75,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,846309,product_846309,15000,เล่ม,0
count_feb2016_floor1_76,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-NV-M-A5407,product_N-NV-M-A5407,3000,เล่ม,0
count_feb2016_floor1_77,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2800535,product_2800535,1500,เล่ม,0
