id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,ปป,inventory_line_id/product_qty,inventory_line_id/product_uom
,,สาทร ชั้น 1,product_P-HB-NO20-A,กระดาษแข็ง เบอร์20 45แผ่น เกรดA ,,ห่อ
,,สาทร ชั้น 1,product_P-HB-NO20-B,กระดาษแข็ง เบอร์20 45แผ่น เกรดB,,ห่อ
,,สาทร ชั้น 1,product_P-HB-NO24-A,กระดาษแข็ง เบอร์24 37แผ่น เกรดA,,ห่อ
,,สาทร ชั้น 1,product_P-HB-NO24-B,กระดาษแข็ง เบอร์24 37แผ่น เกรดB,,ห่อ
,,สาทร ชั้น 1,product_P-HB-NO32-A,กระดาษแข็ง เบอร์32 27แผ่น เกรดA,,ห่อ
,,สาทร ชั้น 1,product_P-HB-NO32-B,กระดาษแข็ง เบอร์32 27แผ่น เกรดB,,ห่อ
,,สาทร ชั้น 1,product_P-HB-NO8-A,กระดาษแข็ง เบอร์8 110แผ่น เกรดA,,ห่อ
,,สาทร ชั้น 1,product_P-HB-NO8-B,กระดาษแข็ง เบอร์8 110แผ่น เกรดB,,ห่อ
,,สาทร ชั้น 1,product_P-ANS-100,กระดาษคำตอบ 100ข้อ 50แกรม 200แผ่น,,ห่อ
,,สาทร ชั้น 1,product_P-ANS-120,กระดาษคำตอบ 120ข้อ 50แกรม 200แผ่น,,ห่อ
,,สาทร ชั้น 1,product_P-ANS-60,กระดาษคำตอบ 60ข้อ 50แกรม 200แผ่น,,ห่อ
,,สาทร ชั้น 1,product_P-ANS-80,กระดาษคำตอบ 80ข้อ 50แกรม 200แผ่น,,ห่อ
,,สาทร ชั้น 1,product_P-PC-A3-70G-300S,กระดาษถ่ายเอกสาร A3 70แกรม 300แผ่น Venus,,ห่อ
,,สาทร ชั้น 1,product_P-PC-A3-70G-500S,กระดาษถ่ายเอกสาร A3 70แกรม 500แผ่น Venus,,ห่อ
,,สาทร ชั้น 1,product_P-PC-A3-80G-300S,กระดาษถ่ายเอกสาร A3 80แกรม 300แผ่น Venus,,ห่อ
,,สาทร ชั้น 1,product_P-PC-A3-80G-500S,กระดาษถ่ายเอกสาร A3 80แกรม 500แผ่น Venus,,ห่อ
,,สาทร ชั้น 1,product_P-PC-A4-70G-300S,กระดาษถ่ายเอกสาร A4 70แกรม 300แผ่น Venus,390,ห่อ
,,สาทร ชั้น 1,product_P-PC-A4-70G-400S,กระดาษถ่ายเอกสาร A4 70แกรม 400แผ่น Venus,,ห่อ
,,สาทร ชั้น 1,product_P-PC-A4-70G-500S-CLP,กระดาษถ่ายเอกสาร A4 70แกรม 500แผ่น Copy & Laser Paper,1160,ห่อ
,,สาทร ชั้น 1,product_P-PC-A4-70G-500S-IDEAMAX,กระดาษถ่ายเอกสาร A4 70แกรม 500แผ่น Idea max,310,ห่อ
,,สาทร ชั้น 1,product_P-PC-A4-70G-500S-PPC,กระดาษถ่ายเอกสาร A4 70แกรม 500แผ่น PPC,435,ห่อ
,,สาทร ชั้น 1,product_P-PC-A4-70G-500S,กระดาษถ่ายเอกสาร A4 70แกรม 500แผ่น Venus,80,ห่อ
,,สาทร ชั้น 1,product_P-PC-A4-80G-300S,กระดาษถ่ายเอกสาร A4 80แกรม 300แผ่น Venus,535,ห่อ
,,สาทร ชั้น 1,product_P-PC-A4-80G-400S,กระดาษถ่ายเอกสาร A4 80แกรม 400แผ่น Venus,,ห่อ
,,สาทร ชั้น 1,product_P-PC-A4-80G-500S-IDEAWORK,กระดาษถ่ายเอกสาร A4 80แกรม 500แผ่น Idea work,465,ห่อ
,,สาทร ชั้น 1,product_P-PC-A4-80G-500S-PPC,กระดาษถ่ายเอกสาร A4 80แกรม 500แผ่น PPC,185,ห่อ
,,สาทร ชั้น 1,product_P-PC-A4-80G-500S,กระดาษถ่ายเอกสาร A4 80แกรม 500แผ่น Venus,365,ห่อ
,,สาทร ชั้น 1,product_P-PC-F4-70G-300S,กระดาษถ่ายเอกสาร F4 70แกรม 300แผ่น Venus,,ห่อ
,,สาทร ชั้น 1,product_P-PC-F4-70G-500S,กระดาษถ่ายเอกสาร F4 70แกรม 500แผ่น Venus,,ห่อ
,,สาทร ชั้น 1,product_P-PC-F4-80G-300S,กระดาษถ่ายเอกสาร F4 80แกรม 300แผ่น Venus,,ห่อ
,,สาทร ชั้น 1,product_P-PC-F4-80G-500S,กระดาษถ่ายเอกสาร F4 80แกรม 500แผ่น Venus,,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-033,กระดาษถ่ายเอกสารสีสะท้อนแสง A4 80แกรม 100แผ่น เบอร์17สีชมพู,,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-034,กระดาษถ่ายเอกสารสีสะท้อนแสง A4 80แกรม 100แผ่น เบอร์18สีโอรส,65,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-035,กระดาษถ่ายเอกสารสีสะท้อนแสง A4 80แกรม 100แผ่น เบอร์19สีส้ม,65,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-036,กระดาษถ่ายเอกสารสีสะท้อนแสง A4 80แกรม 100แผ่น เบอร์20สีเขียว,207,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-037,กระดาษถ่ายเอกสารสีสะท้อนแสง A4 80แกรม 100แผ่น เบอร์21สีเหลือง,65,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-SR-001,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์1 สำโรง,,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-017,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์1สีฟ้าเข้ม,192,ห่อ
,,สาทร ชั้น 1,product_P-PCWF-026,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์10สีม่วง,173,ห่อ
