id,name,partner_id,brand_id,description_sale,description_purchase,product_main_code,active,product_sub_code,partner_barcode,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,cover_unit_price,categ_id,uom_id,uom_po_id,uom_so_id,paper_size_id,paper_grams_id,paper_nums_id,paper_binding_id,product_pack_id,description,valuation,uos_id,uos_coeff,qty_available
product_P-CWF-026,กระดาษการ์ดสี A4 150แกรม 200แผ่น สีฟ้า ,,,,,P-CWF-026,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,105,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,150,200,,1*1,,Real Time (automated),,,
product_P-CWF-027,กระดาษการ์ดสี A4 150แกรม 200แผ่น สีชมพู ,,,,,P-CWF-027,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,105,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,150,200,,1*1,,Real Time (automated),,,
product_P-CWF-028,กระดาษการ์ดสี A4 150แกรม 200แผ่น สีเขียว ,,,,,P-CWF-028,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,105,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,150,200,,1*1,,Real Time (automated),,,
product_P-CWF-029,กระดาษการ์ดสี A4 150แกรม 200แผ่น สีเหลือง ,,,,,P-CWF-029,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,105,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,150,200,,1*1,,Real Time (automated),,,
product_P-CWF-030,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีฟ้า ,,,,,P-CWF-030,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,107,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,210,100,,1*1,,Real Time (automated),,,
product_P-CWF-031,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีชมพู ,,,,,P-CWF-031,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,107,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,210,100,,1*1,,Real Time (automated),,,
product_P-CWF-032,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีเขียว ,,,,,P-CWF-032,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,107,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,210,100,,1*1,,Real Time (automated),,,
product_P-CWF-033,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีเหลือง ,,,,,P-CWF-033,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,107,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,210,100,,1*1,,Real Time (automated),,,
product_P-CWF-034,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีขาว ,,,,,P-CWF-034,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,107,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,210,100,,1*1,,Real Time (automated),,,
product_P-CWF-035,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีฟ้า ,,,,,P-CWF-035,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,94,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,180,100,,1*1,,Real Time (automated),,,
product_P-CWF-036,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีชมพู ,,,,,P-CWF-036,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,94,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,180,100,,1*1,,Real Time (automated),,,
product_P-CWF-037,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีเขียว ,,,,,P-CWF-037,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,94,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,180,100,,1*1,,Real Time (automated),,,
product_P-CWF-038,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีเหลือง ,,,,,P-CWF-038,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,94,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,180,100,,1*1,,Real Time (automated),,,
product_P-CWF-039,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีขาว ,,,,,P-CWF-039,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,94,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,180,100,,1*1,,Real Time (automated),,,
product_P-CWF-040,กระดาษการ์ดสี A4 160แกรม 100แผ่น สีขาว ,,,,,P-CWF-040,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,59,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,160,100,,1*1,,Real Time (automated),,,
product_P-CWF-041,กระดาษการ์ดสี A4 125แกรม 100แผ่น สีขาว ,,,,,P-CWF-041,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,54,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,125,100,,1*1,,Real Time (automated),,,
product_P-CWF-042,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีฟ้า ,,,,,P-CWF-042,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,88,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,F4,120,180,,1*1,,Real Time (automated),,,
product_P-CWF-043,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีชมพู ,,,,,P-CWF-043,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,88,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,F4,120,180,,1*1,,Real Time (automated),,,
product_P-CWF-044,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีเขียว ,,,,,P-CWF-044,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,88,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,F4,120,180,,1*1,,Real Time (automated),,,
product_P-CWF-045,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีเหลือง ,,,,,P-CWF-045,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,88,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,F4,120,180,,1*1,,Real Time (automated),,,
product_P-CWF-046,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีฟ้า ,,,,,P-CWF-046,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,97,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,F4,120,200,,1*1,,Real Time (automated),,,
product_P-CWF-047,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีชมพู ,,,,,P-CWF-047,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,97,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,F4,120,200,,1*1,,Real Time (automated),,,
product_P-CWF-048,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีเขียว ,,,,,P-CWF-048,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,97,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,F4,120,200,,1*1,,Real Time (automated),,,
product_P-CWF-049,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีเหลือง ,,,,,P-CWF-049,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,97,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,F4,120,200,,1*1,,Real Time (automated),,,
product_P-CWF-050,กระดาษการ์ดสี F4 150แกรม 180แผ่น สีฟ้า ,,,,,P-CWF-050,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,125,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,F4,150,180,,1*1,,Real Time (automated),,,
product_P-CWF-051,กระดาษการ์ดสี F4 150แกรม 180แผ่น สีชมพู ,,,,,P-CWF-051,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,125,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,F4,150,180,,1*1,,Real Time (automated),,,
