id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,inventory_line_id/product_id_XX,inventory_line_id/product_qty,inventory_line_id/product_uom
,,มหาชัย,product_P-ANS-60,กระดาษคำตอบ 60ข้อ 50แกรม 200แผ่น,0,ห่อ
,,มหาชัย,product_P-ANS-80,กระดาษคำตอบ 80ข้อ 50แกรม 200แผ่น,0,ห่อ
,,มหาชัย,product_P-PC-A3-70G-300S,กระดาษถ่ายเอกสาร A3 70แกรม 300แผ่น Venus,,ห่อ
,,มหาชัย,product_P-PC-A3-70G-500S,กระดาษถ่ายเอกสาร A3 70แกรม 500แผ่น Venus,,ห่อ
,,มหาชัย,product_P-PC-A3-80G-300S,กระดาษถ่ายเอกสาร A3 80แกรม 300แผ่น Venus,,ห่อ
,,มหาชัย,product_P-PC-A3-80G-500S,กระดาษถ่ายเอกสาร A3 80แกรม 500แผ่น Venus,,ห่อ
,,มหาชัย,product_P-PC-A4-70G-300S,กระดาษถ่ายเอกสาร A4 70แกรม 300แผ่น Venus,828,ห่อ
,,มหาชัย,product_P-PC-A4-70G-400S,กระดาษถ่ายเอกสาร A4 70แกรม 400แผ่น Venus,570,ห่อ
,,มหาชัย,product_P-PC-A4-70G-500S-CLP,กระดาษถ่ายเอกสาร A4 70แกรม 500แผ่น Copy & Laser Paper,,ห่อ
,,มหาชัย,product_P-PC-A4-70G-500S-IDEAMAX,กระดาษถ่ายเอกสาร A4 70แกรม 500แผ่น Idea max,1350,ห่อ
,,มหาชัย,product_P-PC-A4-70G-500S-PPC,กระดาษถ่ายเอกสาร A4 70แกรม 500แผ่น PPC,25710,ห่อ
,,มหาชัย,product_P-PC-A4-70G-500S,กระดาษถ่ายเอกสาร A4 70แกรม 500แผ่น Venus,11423,ห่อ
,,มหาชัย,product_P-PC-A4-80G-300S,กระดาษถ่ายเอกสาร A4 80แกรม 300แผ่น Venus,2995,ห่อ
,,มหาชัย,product_P-PC-A4-80G-400S,กระดาษถ่ายเอกสาร A4 80แกรม 400แผ่น Venus,0,ห่อ
,,มหาชัย,product_P-PC-A4-80G-500S-IDEAWORK,กระดาษถ่ายเอกสาร A4 80แกรม 500แผ่น Idea work,1296,ห่อ
,,มหาชัย,product_P-PC-A4-80G-500S-PPC,กระดาษถ่ายเอกสาร A4 80แกรม 500แผ่น PPC,0,ห่อ
,,มหาชัย,product_P-PC-A4-80G-500S,กระดาษถ่ายเอกสาร A4 80แกรม 500แผ่น Venus,4212,ห่อ
,,มหาชัย,product_P-PC-F4-70G-300S,กระดาษถ่ายเอกสาร F4 70แกรม 300แผ่น Venus,0,ห่อ
,,มหาชัย,product_P-PC-F4-70G-500S,กระดาษถ่ายเอกสาร F4 70แกรม 500แผ่น Venus,0,ห่อ
,,มหาชัย,product_P-PC-F4-80G-300S,กระดาษถ่ายเอกสาร F4 80แกรม 300แผ่น Venus,80,ห่อ
,,มหาชัย,product_P-PC-F4-80G-500S,กระดาษถ่ายเอกสาร F4 80แกรม 500แผ่น Venus,324,ห่อ
,,มหาชัย,product_157360,Q-BIZ กรดาษถ่ายเอกสารสี 80g A4 200 แผ่น (คละสีNo.1-4),0,ห่อ
,,มหาชัย,product_112488,Q-BIZ กรดาษถ่ายเอกสารสีเขียว 80g A4 100 แผ่น No.14,0,ห่อ
,,มหาชัย,product_112507,Q-BIZ กรดาษถ่ายเอกสารสีแดง 80g A4 100 แผ่น No.16,0,ห่อ
,,มหาชัย,product_112480,Q-BIZ กรดาษถ่ายเอกสารสีฟ้า 80g A4 100 แผ่น No.13,0,ห่อ
,,มหาชัย,product_112493,Q-BIZ กรดาษถ่ายเอกสารสีส้ม 80g A4 100 แผ่น No.15,0,ห่อ
