id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,inventory_line_id/product_uom,inventory_line_id/product_qty
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-052,ห่อ,119
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-051,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-050,ห่อ,135
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-053,ห่อ,250
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-056,ห่อ,156
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-055,ห่อ,99
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-054,ห่อ,30
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-057,ห่อ,182
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-062,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-060,ห่อ,49
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-059,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-058,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-061,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-065,ห่อ,100
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-064,ห่อ,80
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-063,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-066,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-HB-NO10-A,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-HB-NO10-B,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-HB-NO12-A,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-HB-NO12-B,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-HB-NO16-A,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-HB-NO16-B,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-HB-NO20-A,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-HB-NO20-B,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-HB-NO24-A,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-HB-NO24-B,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-HB-NO32-A,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-HB-NO32-B,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-HB-NO8-A,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-HB-NO8-B,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-ANS-100,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-ANS-120,ห่อ,330
,,คลังสำเร็จรูปชั้น 2,product_P-ANS-60,ห่อ,233
,,คลังสำเร็จรูปชั้น 2,product_P-ANS-80,ห่อ,490
,,คลังสำเร็จรูปชั้น 2,product_P-PC-A3-70G-300S,ห่อ,40
,,คลังสำเร็จรูปชั้น 2,product_P-PC-A3-70G-500S,ห่อ,20
,,คลังสำเร็จรูปชั้น 2,product_P-PC-A3-80G-300S,ห่อ,55
,,คลังสำเร็จรูปชั้น 2,product_P-PC-A3-80G-500S,ห่อ,49
,,คลังสำเร็จรูปชั้น 2,product_P-PC-A4-70G-300S,ห่อ,0
,,คลังสำเร็จรูปชั้น 2,product_P-PC-A4-70G-400S,ห่อ,0
,,คลังสำเร็จรูปชั้น 2,product_P-PC-A4-70G-500S-CLP,ห่อ,0
,,คลังสำเร็จรูปชั้น 2,product_P-PC-A4-70G-500S-IDEAMAX,ห่อ,530
,,คลังสำเร็จรูปชั้น 2,product_P-PC-A4-70G-500S-PPC,ห่อ,640
